pulsar_i,pulsar_j,angle_deg,hd_gamma,corr,sigma,n_overlap
J0557+1551,J1012-4235,82.56595300600054,-0.15189644485116371,0.28080564474735586,0.5318251553896124,6
J0557+1551,J1022+1001,64.69762433753492,-0.10869604135280964,-0.3865045826445752,0.4911023417313449,6
J0605+3757,J0610-2100,58.98004672703091,-0.0758217593492102,0.12645036930376746,0.28405930697959925,15
J0605+3757,J0613-0200,40.02302112812031,0.09399004257365129,0.16493271204681337,0.2808223627868949,15
J0605+3757,J0614-3329,71.48952786333263,-0.13565374623359083,-0.40665339808675305,0.29508733193873354,11
J0605+3757,J0636+5128,14.58086828147009,0.3962445994277961,-0.02796767090096579,0.3159804156258596,13
J0605+3757,J0645+5158,15.732380057577439,0.38356287392524535,0.07221099054676128,0.33159519094808515,12
J0605+3757,J0709+0458,36.06028749953846,0.1390005253539645,-0.045398286530127674,0.4989694977900642,7
J0605+3757,J0740+6620,31.501660432153084,0.19332126456736998,-0.4745896514574739,0.24500209848373025,13
J0605+3757,J0931-1902,74.77503063739029,-0.1439915930493153,0.16822267101924726,0.28050595534176015,15
J0605+3757,J1012+5307,44.34552847056105,0.0480167057099129,0.3025824820013183,0.2872751665764703,13
J0605+3757,J1012-4235,98.15817388081238,-0.12272270687766751,0.10080569497166386,0.29844745017274377,14
J0610-2100,J0613-0200,19.013799480753413,0.34580275174758957,0.7007728780175072,0.09980690838275989,29
J0610-2100,J0614-3329,12.521179459193222,0.417970777159564,0.22643386934837292,0.21765306218392974,22
J0610-2100,J0636+5128,72.71290973440118,-0.13911346251470225,-0.4844799725331775,0.14462416649173282,31
J0610-2100,J0645+5158,73.39665983508738,-0.14086313560450558,-0.25093162663579116,0.19538495341192896,26
J0610-2100,J0709+0458,29.735637047088947,0.21486518192450288,0.633686161074811,0.18043700662266998,14
J0610-2100,J0740+6620,89.00428100390647,-0.14657356420882295,-0.7455418118242857,0.08548005729793398,30
J0610-2100,J0931-1902,47.079780735243894,0.020915523272378667,0.5628654584183564,0.1366364951438987,28
J0610-2100,J1012+5307,90.66191734976994,-0.14359591767863278,-0.2829347191506116,0.17083004469619517,32
J0610-2100,J1012-4235,54.4745228680222,-0.04352213798266069,0.34065674560052844,0.18845940891818366,25
J0610-2100,J1022+1001,69.37534474588823,-0.12867384741866617,-0.677864432956053,0.1801666035110562,12
J0613-0200,J0614-3329,31.485409744804137,0.19351852332880448,0.2665647732031056,0.21311419092744763,22
J0613-0200,J0636+5128,53.70689842609002,-0.03747595809226756,-0.30497631156323524,0.12120156332208855,59
J0613-0200,J0645+5158,54.41389084781883,-0.043050214501021755,-0.16636929587373273,0.11153289741109197,79
J0613-0200,J0709+0458,15.505375443005393,0.38608988633791563,0.3259274942150042,0.21066390826548906,21
J0613-0200,J0740+6620,70.10643360998257,-0.13123138348281016,-0.7875097194630216,0.05426120596446756,52
J0613-0200,J0931-1902,51.224600479680646,-0.016879090610898873,0.6139877796172938,0.07849301681972731,66
J0613-0200,J1012+5307,74.06975646263733,-0.1424572641404791,-0.22297490696663513,0.08432390878446845,130
J0613-0200,J1012-4235,66.68295290240532,-0.11793916307024599,0.2795698827948157,0.20612984263225057,23
J0613-0200,J1022+1001,63.17887569113544,-0.10086583153162665,-0.24862483391313167,0.20472890234946978,24
J0614-3329,J0636+5128,85.11804249295754,-0.1510116423763045,-0.18345637807784393,0.23437278718703608,20
J0614-3329,J0645+5158,85.7531187780756,-0.15053717467670158,-0.2849044002457579,0.23724075230541855,18
J0614-3329,J0709+0458,40.6191814170682,0.08744030498040678,0.5695678569137658,0.27580946536360396,9
J0614-3329,J0740+6620,101.21640853709523,-0.11106029660176286,-0.00741813709870013,0.24998624281049622,19
J0614-3329,J0931-1902,46.03030756368995,0.031123248806261827,0.28470467893552015,0.21659700020841893,21
J0614-3329,J1012+5307,100.8456001192564,-0.11256226661852609,-0.41817109505012856,0.2001241321924581,20
